Date,Team_1,Team_2,T1_Score,T2_Score,T1_Sum,T1_BP,T1_Ratio,T1_Srv_Sum,T1_Srv_Err,T1_Srv_Ace,T1_Srv_Eff,T1_Rec_Sum,T1_Rec_Err,T1_Rec_Pos,T1_Rec_Perf,T1_Att_Sum,T1_Att_Err,T1_Att_Blk,T1_Att_Kill,T1_Att_Kill_Perc,T1_Att_Eff,T1_Blk_Sum,T1_Blk_As,T2_Sum,T2_BP,T2_Ratio,T2_Srv_Sum,T2_Srv_Err,T2_Srv_Ace,T2_Srv_Eff,T2_Rec_Sum,T2_Rec_Err,T2_Rec_Pos,T2_Rec_Perf,T2_Att_Sum,T2_Att_Err,T2_Att_Blk,T2_Att_Kill,T2_Att_Kill_Perc,T2_Att_Eff,T2_Blk_Sum,T2_Blk_As
"01.02.2019, 17:30",Cuprum Lubin,GKS Katowice,3,1,70,97,4,21,"1,00",69,2,14,36,52%,14,20%,102,7,8,52,51%,14,"3,50",53,82,2,13,"0,50",76,4,16,38,50%,9,11%,104,12,14,43,41%,8,"2,00"
"03.02.2019, 17:30",Jastrzębski Węgiel,MKS Będzin,3,0,51,73,4,10,"1,33",44,4,15,16,36%,5,11%,66,3,7,39,59%,8,"2,67",45,60,4,16,"1,33",63,4,15,34,53%,10,15%,78,7,8,34,44%,7,"2,33"
"02.02.2019, 14:45",Indykpol AZS Olsztyn,PGE Skra Bełchatów,3,1,77,105,6,13,"1,50",79,1,24,37,46%,17,21%,124,11,7,59,48%,12,"3,00",70,96,1,17,"0,25",92,6,26,48,52%,16,17%,124,9,12,62,50%,7,"1,75"
"05.03.2019, 20:30",Trefl Gdańsk,ZAKSA Kędzierzyn-Koźle,3,1,82,98,4,12,"1,00",79,7,19,32,40%,13,16%,117,4,12,71,61%,7,"1,75",68,91,7,12,"1,75",86,4,22,44,51%,12,13%,111,2,7,49,44%,12,"3,00"
"03.02.2019, 14:45",Chemik Bydgoszcz,Trefl Gdańsk,0,3,42,64,2,11,"0,67",62,5,22,30,48%,15,24%,74,7,5,31,42%,9,"3,00",55,74,5,12,"1,67",53,2,11,28,52%,14,26%,86,7,9,45,52%,5,"1,67"
"06.02.2019, 18:30",ZAKSA Kędzierzyn-Koźle,Indykpol AZS Olsztyn,3,1,81,107,4,17,"1,00",79,6,19,43,54%,26,32%,119,4,5,70,59%,7,"1,75",73,96,6,17,"1,50",90,4,20,50,55%,18,20%,120,7,7,62,52%,5,"1,25"
"06.02.2019, 20:30",PGE Skra Bełchatów,Jastrzębski Węgiel,1,3,73,101,10,21,"2,50",82,5,34,27,32%,10,12%,115,9,6,50,43%,13,"3,25",69,100,5,18,"1,25",80,10,18,44,55%,19,23%,118,8,13,58,49%,6,"1,50"
"05.02.2019, 20:30",MKS Będzin,Asseco Resovia Rzeszów,1,3,54,79,5,25,"1,25",83,3,21,44,53%,21,25%,113,11,12,44,39%,5,"1,25",61,96,3,13,"0,75",54,5,18,21,38%,11,20%,104,8,5,46,44%,12,"3,00"
"06.02.2019, 17:30",GKS Katowice,ONICO Warszawa,1,3,61,82,5,12,"1,25",84,7,26,36,42%,12,14%,101,7,14,45,45%,11,"2,75",77,98,7,14,"1,75",70,5,12,40,57%,21,30%,110,4,11,56,51%,14,"3,50"
"07.02.2019, 20:30",Cerrad Czarni Radom,Aluron Virtu Warta Zawiercie,3,1,73,99,9,19,"2,25",83,13,23,36,43%,14,16%,105,4,10,52,50%,12,"3,00",74,99,13,16,"3,25",80,9,23,37,46%,13,16%,116,10,12,51,44%,10,"2,50"
"11.02.2019, 20:30",Cerrad Czarni Radom,Chemik Bydgoszcz,3,1,72,97,9,19,"2,25",68,7,22,31,45%,13,19%,93,8,7,54,58%,9,"2,25",52,84,7,16,"1,75",78,9,14,44,56%,25,32%,87,7,9,38,44%,7,"1,75"
"16.01.2019, 20:30",GKS Katowice,Aluron Virtu Warta Zawiercie,3,0,55,75,4,11,"1,33",59,3,21,22,37%,9,15%,85,6,5,38,45%,13,"4,33",46,66,3,7,"1,00",64,4,13,34,53%,14,21%,103,11,13,38,37%,5,"1,67"
"09.02.2019, 17:30",Cuprum Lubin,MKS Będzin,3,0,54,73,3,11,"1,00",55,1,15,28,50%,8,14%,83,8,4,43,52%,8,"2,67",45,67,1,12,"0,33",62,3,8,34,54%,13,20%,85,6,8,40,47%,4,"1,33"
"10.02.2019, 14:45",Asseco Resovia Rzeszów,PGE Skra Bełchatów,3,1,78,97,11,13,"2,75",75,3,32,32,42%,4,5%,110,7,10,60,55%,7,"1,75",65,88,3,13,"0,75",84,11,31,33,39%,10,11%,107,6,7,52,49%,10,"2,50"
"09.02.2019, 14:45",Jastrzębski Węgiel,ZAKSA Kędzierzyn-Koźle,0,3,43,60,5,14,"1,67",66,5,20,34,51%,13,19%,93,9,5,33,35%,5,"1,67",49,73,5,7,"1,67",46,5,11,13,28%,5,10%,77,5,5,39,51%,5,"1,67"
"10.02.2019, 17:30",Indykpol AZS Olsztyn,Trefl Gdańsk,2,3,65,96,2,15,"0,40",89,8,24,42,47%,14,15%,117,6,8,54,46%,9,"1,80",81,103,8,14,"1,60",81,2,24,36,44%,11,13%,123,8,9,65,53%,8,"1,60"
"15.02.2019, 17:30",Chemik Bydgoszcz,Indykpol AZS Olsztyn,3,1,67,94,6,14,"1,50",73,5,26,33,45%,18,24%,109,5,9,54,50%,7,"1,75",67,88,5,15,"1,25",80,6,16,48,60%,12,15%,118,11,7,53,45%,9,"2,25"
